CPB;titulo;ano;cat;instrumento;critica_indice_1_5;critica_n_fontes;cita_n_papers;cita_soma_cit;IMDB_VOTES;qid;L;L_nonpten;pv2024;sitelinks
B1600324600000;BILL, O TOURO;2015;Arranjos Regionais;FSA puro;4.3;1;0.0;;;;0;0;0;0
B1800159100000;DIVERSIDADE;2015;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;0.0;;;;0;0;0;0
B1600107600000;EM NOME DA LEI;2015;Arranjos Regionais;Misto FSA+Renúncia;4.3;1;;;241.0;Q25336861;2;1;3411;2
B1600064700000;ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL;2015;Arranjos Regionais;Misto FSA+Renúncia;3.4;1;;;;;0;0;0;0
B1600416100000;MÃE SÓ HÁ UMA;2015;Arranjos Regionais;Misto FSA+Renúncia;3.5;1;0.0;;1649.0;Q22905675;8;6;7597;8
B1600227000000;O CASEIRO;2015;Arranjos Regionais;Misto FSA+Renúncia;3.4;1;;;300.0;Q25441099;1;0;2480;1
B1600756100000;A CIDADE DO FUTURO;2016;Arranjos Regionais;Misto FSA+Renúncia;4.062;2;1.0;0.0;166.0;Q135038207;0;0;0;0
B1600630700000;A FINADA MÃE DA MADAME;2016;Arranjos Regionais;Misto FSA+Renúncia;3.5;1;;;19.0;;0;0;0;0
B1700012000000;A PROFESSORA DE MÚSICA;2016;Arranjos Regionais;FSA puro;4.05;2;1.0;0.0;;;0;0;0;0
B1600713500000;AS AVENTURAS DE MINUANO KID;2016;Arranjos Regionais;FSA puro;4.3;1;1.0;0.0;;;0;0;0;0
B1700013000000;CAFÉ COM CANELA;2016;Arranjos Regionais;FSA puro;3.7;1;36.0;14.0;368.0;Q61672556;0;0;0;0
B1700422600000;CHOCANTE;2016;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;243.0;Q48879505;2;1;3631;2
B1600651600000;CURUMIM, O HOMEM QUE QUERIA VOAR;2016;Arranjos Regionais;Misto FSA+Renúncia;3.9;1;;;;;0;0;0;0
B1700401900000;EU MORO AQUI;2016;Arranjos Regionais;FSA puro;4.03;2;;;;;0;0;0;0
B1600714000000;O ÚLTIMO TRAGO;2016;Arranjos Regionais;FSA puro;4.6;1;;;11.0;;0;0;0;0
B1600473500000;QUATRO MILAGRES DE UM SANTO LADRÃO;2016;Arranjos Regionais;FSA puro;4.1;1;0.0;;;;0;0;0;0
B1600547800000;RIFLE;2016;Arranjos Regionais;FSA puro;0.0;0;14.0;7.0;97.0;;0;0;0;0
B1700605000000;A MOÇA DO CALENDÁRIO;2017;Arranjos Regionais;FSA puro;0.0;0;;;63.0;;0;0;0;0
B1800115300000;A VIDA EXTRA-ORDINÁRIA DE TARSO DE CASTRO;2017;Arranjos Regionais;FSA puro;3.2;1;;;36.0;;0;0;0;0
